,HPI (Predicted),Year,State
143,2119.953352692376,2089,California
144,2144.8483370993426,2090,California
145,2139.413397757229,2091,California
146,2127.090038385264,2092,California
147,2156.1743831977024,2093,California
148,2107.650526150601,2094,California
149,2177.2756446420026,2095,California
150,2304.6777437900582,2096,California
151,2257.97993791682,2097,California
152,2194.2407333702863,2098,California
153,2213.496675147442,2099,California
154,2155.231810432034,2100,California
155,2215.220060066547,2101,California
156,2220.8578784942024,2102,California
157,2196.4069948332804,2103,California
158,2241.8220176522095,2104,California
159,2251.4410905727864,2105,California
160,2183.660067544151,2106,California
161,2234.269241717668,2107,California
162,2419.4097230550674,2108,California
163,2353.2466452918407,2109,California
164,2270.2502747639555,2110,California
165,2270.490272222578,2111,California
166,2457.2719699396157,2112,California
167,2467.635630022908,2113,California
168,2447.837980169314,2114,California
169,2372.295826943114,2115,California
170,2493.493000446405,2116,California
171,2430.437819074889,2117,California
172,2485.700227053536,2118,California
173,2486.684811674811,2119,California
46,213.58820717810318,1996,Florida
47,451.9375504874306,1997,Florida
48,197.90765425282453,1998,Florida
49,161.85478096367828,1999,Florida
50,253.43170750902527,2000,Florida
51,253.5244951711465,2001,Florida
52,228.96161989151014,2002,Florida
53,462.32398608045503,2003,Florida
54,227.6343116312772,2004,Florida
55,257.6588550122426,2005,Florida
56,268.80511974285673,2006,Florida
57,263.91092977530064,2007,Florida
58,528.1035152265032,2008,Florida
59,276.5767662438065,2009,Florida
60,243.00772134542095,2010,Florida
61,268.04528686592903,2011,Florida
62,329.69045693507445,2012,Florida
63,307.63072889880954,2013,Florida
64,543.4769234614288,2014,Florida
65,286.9631973407679,2015,Florida
66,333.8248137658394,2016,Florida
67,347.4742262274043,2017,Florida
68,345.06386513634635,2018,Florida
69,318.0171599727433,2019,Florida
70,352.7427242296883,2020,Florida
71,321.67682732438175,2021,Florida
72,349.1982219673303,2022,Florida
73,357.8606573019885,2023,Florida
74,383.79668686216155,2024,Florida
75,622.146029422794,2025,Florida
76,368.11613243102346,2026,Florida
77,332.0632583989087,2027,Florida
78,423.64018419107913,2028,Florida
79,423.73297109724615,2029,Florida
80,399.17009506236116,2030,Florida
81,632.5324604970072,2031,Florida
82,397.8427852881389,2032,Florida
83,427.8673279281566,2033,Florida
84,439.0135923916887,2034,Florida
85,434.1194021718503,2035,Florida
86,698.3119873859212,2036,Florida
87,446.785238391896,2037,Florida
88,413.2161934902796,2038,Florida
89,438.253759002129,2039,Florida
90,499.8989290600522,2040,Florida
91,477.8392010258315,2041,Florida
92,713.685395587329,2042,Florida
93,457.17166946560377,2043,Florida
94,504.03328589187254,2044,Florida
95,517.6826983543131,2045,Florida
96,515.2723372617274,2046,Florida
97,488.2256320993904,2047,Florida
98,522.9511963547043,2048,Florida
99,491.8852994513163,2049,Florida
100,519.4066940930281,2050,Florida
101,528.0691294285643,2051,Florida
102,554.0051589886056,2052,Florida
103,792.3545015487218,2053,Florida
104,538.3246045568036,2054,Florida
105,502.27173052504804,2055,Florida
106,593.8486563177705,2056,Florida
107,593.9414432234246,2057,Florida
108,569.3785671891632,2058,Florida
109,802.7409326228993,2059,Florida
110,568.051257414117,2060,Florida
111,598.0758000545636,2061,Florida
112,609.2220645184381,2062,Florida
113,604.3278742972659,2063,Florida
114,868.5204595118914,2064,Florida
115,616.993710517008,2065,Florida
116,583.4246656156962,2066,Florida
117,608.462231128264,2067,Florida
118,670.1074011860327,2068,Florida
119,648.0476731515885,2069,Florida
120,883.8938677130764,2070,Florida
121,627.3801415919916,2071,Florida
122,674.2417580169915,2072,Florida
123,687.8911704795498,2073,Florida
124,685.4808093869119,2074,Florida
125,658.4341042244724,2075,Florida
126,693.1596684804133,2076,Florida
127,662.0937715766752,2077,Florida
128,689.615166217811,2078,Florida
129,698.2776015540551,2079,Florida
130,724.2136311138534,2080,Florida
131,962.5629736744349,2081,Florida
132,708.5330766814325,2082,Florida
133,672.4802026506738,2083,Florida
134,764.0571284431642,2084,Florida
135,764.1499153492641,2085,Florida
136,739.5870393146889,2086,Florida
137,972.9494047486687,2087,Florida
138,738.2597295395551,2088,Florida
139,768.2842721804697,2089,Florida
140,779.4305366439412,2090,Florida
141,774.5363464232215,2091,Florida
142,1038.7289316376548,2092,Florida
143,787.2021826434061,2093,Florida
144,753.6331377410112,2094,Florida
145,778.6707032534473,2095,Florida
146,840.3158733119478,2096,Florida
147,818.2561452760109,2097,Florida
148,1054.1023398387576,2098,Florida
149,797.588613717445,2099,Florida
150,759.0754807830039,2100,Florida
151,779.220311171091,2101,Florida
152,780.5894843783119,2102,Florida
153,766.0375678699356,2103,Florida
154,1059.5446828806118,2104,Florida
155,798.1382216363593,2105,Florida
156,754.7920854720513,2106,Florida
157,770.1719247015313,2107,Florida
158,861.1316245542083,2108,Florida
159,829.1921842661513,2109,Florida
160,1055.2612875715881,2110,Florida
161,789.0898351653337,2111,Florida
162,865.2659813847929,2112,Florida
163,869.0356815970856,2113,Florida
164,856.8482292478111,2114,Florida
165,820.1437977944271,2115,Florida
166,884.1838918504941,2116,Florida
167,843.2382826932808,2117,Florida
168,860.9825860791262,2118,Florida
169,859.9872951239277,2119,Florida
50,169.47150123945588,1996,Illinois
51,165.9696123788423,1997,Illinois
52,170.07159608925457,1998,Illinois
53,170.52630371675042,1999,Illinois
54,187.39182588847052,2000,Illinois
55,193.19143767147762,2001,Illinois
56,192.36031850442643,2002,Illinois
57,187.52095952979795,2003,Illinois
58,201.93727215997018,2004,Illinois
59,206.43343157022252,2005,Illinois
60,207.30353864760457,2006,Illinois
61,207.6722074617631,2007,Illinois
62,207.7500867522833,2008,Illinois
63,208.42121494641364,2009,Illinois
64,205.44080583741788,2010,Illinois
65,204.49944249481692,2011,Illinois
66,218.55385774069993,2012,Illinois
67,214.29195129602243,2013,Illinois
68,206.01754380882215,2014,Illinois
69,205.35126999159854,2015,Illinois
70,215.38133888983782,2016,Illinois
71,215.7944270729046,2017,Illinois
72,216.8215203724689,2018,Illinois
73,211.22214377258166,2019,Illinois
74,216.2331668177249,2020,Illinois
75,213.9236918499676,2021,Illinois
76,213.64900155840832,2022,Illinois
77,212.72461954957456,2023,Illinois
78,222.10404059871448,2024,Illinois
79,214.50049878100083,2025,Illinois
80,214.5008294862775,2026,Illinois
81,210.85388432664513,2027,Illinois
82,223.60651637568867,2028,Illinois
83,225.30447534465668,2029,Illinois
84,220.37170326731203,2030,Illinois
85,211.4306912576762,2031,Illinois
86,221.73578115277815,2032,Illinois
87,222.13195653057028,2033,Illinois
88,221.87417904425,2034,Illinois
89,222.2346678213141,2035,Illinois
90,222.31258808378436,2036,Illinois
91,222.98378445845466,2037,Illinois
92,220.00344382139056,2038,Illinois
93,219.06214900732394,2039,Illinois
94,233.11656464749473,2040,Illinois
95,228.8546582394709,2041,Illinois
96,220.58025075239422,2042,Illinois
97,219.91397693522075,2043,Illinois
98,229.9440458334213,2044,Illinois
99,230.35713401645967,2045,Illinois
100,231.3842273160717,2046,Illinois
101,225.78485071617476,2047,Illinois
102,230.79587376129066,2048,Illinois
103,228.4863987935521,2049,Illinois
104,228.21170850198922,2050,Illinois
105,227.2873264931267,2051,Illinois
106,236.66674754225846,2052,Illinois
107,229.0632057245617,2053,Illinois
108,229.06353642984624,2054,Illinois
109,225.41659127025366,2055,Illinois
110,238.16922331926472,2056,Illinois
111,239.86718228824807,2057,Illinois
112,234.93441021085454,2058,Illinois
113,225.99339820124595,2059,Illinois
114,236.29848809634603,2060,Illinois
115,236.69466347419217,2061,Illinois
116,236.43688598783945,2062,Illinois
117,236.79737476491272,2063,Illinois
118,236.87529502737323,2064,Illinois
119,237.5464914020587,2065,Illinois
120,234.5661507649196,2066,Illinois
121,233.62485595086184,2067,Illinois
122,247.67927159104337,2068,Illinois
123,243.41736518299462,2069,Illinois
124,235.14295769593815,2070,Illinois
125,234.47668387874276,2071,Illinois
126,244.50675277696234,2072,Illinois
127,244.91984096004228,2073,Illinois
128,245.9469342596164,2074,Illinois
129,240.34755765972136,2075,Illinois
130,245.35858070484284,2076,Illinois
131,243.04910573706718,2077,Illinois
132,242.7744154455451,2078,Illinois
133,241.85003343669837,2079,Illinois
134,251.22945448583909,2080,Illinois
135,243.62591266810858,2081,Illinois
136,243.62624337338428,2082,Illinois
137,239.9792982138199,2083,Illinois
138,252.731930262812,2084,Illinois
139,254.42988923175488,2085,Illinois
140,249.49711715440975,2086,Illinois
141,240.55610514478846,2087,Illinois
142,250.86119503986984,2088,Illinois
143,251.25737041768383,2089,Illinois
144,250.99959293141637,2090,Illinois
145,251.3600817084452,2091,Illinois
146,251.43800197090533,2092,Illinois
147,252.10919834558226,2093,Illinois
148,249.12885770842328,2094,Illinois
149,248.18756289436843,2095,Illinois
150,262.2419785345671,2096,Illinois
151,257.98007212656387,2097,Illinois
152,249.70566463945318,2098,Illinois
153,249.0393908222415,2099,Illinois
154,244.73120756971895,2100,Illinois
155,242.47389959437305,2101,Illinois
156,239.5862784756839,2102,Illinois
157,237.34492511391747,2103,Illinois
158,245.30801450080128,2104,Illinois
159,243.32572752233315,2105,Illinois
160,237.71554325251572,2106,Illinois
161,234.17240629972474,2107,Illinois
162,256.1119910642346,2108,Illinois
163,249.1966013032714,2109,Illinois
164,238.29235018357906,2110,Illinois
165,235.0242342275278,2111,Illinois
166,252.93947225019224,2112,Illinois
167,250.6990770801265,2113,Illinois
168,249.09632674731154,2114,Illinois
169,240.89510800867546,2115,Illinois
170,253.7913001781361,2116,Illinois
171,248.82834185723826,2117,Illinois
172,245.92380793317471,2118,Illinois
173,242.39758378557366,2119,Illinois
