,Total_Disasters (Predicted),Year,State
53,24.851103006110698,2003,Florida
54,76.67321358606216,2004,Florida
55,90.92523666954926,2005,Florida
56,111.17775686769906,2006,Florida
57,82.94109631982552,2007,Florida
58,-8.343023642281995,2008,Florida
59,119.99841231481389,2009,Florida
60,92.62020440592471,2010,Florida
61,108.23639112389061,2011,Florida
62,49.746969668153845,2012,Florida
63,66.46384068079884,2013,Florida
64,7.603967175400097,2014,Florida
65,137.30956676769983,2015,Florida
66,75.04226447359254,2016,Florida
67,94.60578243091553,2017,Florida
68,65.6939604876215,2018,Florida
69,83.77499513546836,2019,Florida
70,104.11544011806299,2020,Florida
71,76.04822996968757,2021,Florida
72,90.9892552929397,2022,Florida
73,111.9169368852848,2023,Florida
74,50.58086848562142,2024,Florida
75,-8.968007259847578,2025,Florida
76,120.06243093747668,2026,Florida
77,93.359384424098,2027,Florida
78,78.72281023552407,2028,Florida
79,49.121986052630774,2029,Florida
80,66.52785930539245,2030,Florida
81,8.34314719483129,2031,Florida
82,60.1652577742275,2032,Florida
83,74.41728085789444,2033,Florida
84,94.6698010552916,2034,Florida
85,66.43314050699705,2035,Florida
86,-24.850979454744145,2036,Florida
87,103.49045650248402,2037,Florida
88,76.11224859317036,2038,Florida
89,91.72843531265646,2039,Florida
90,33.239013857615646,2040,Florida
91,49.95588486939145,2041,Florida
92,-8.90398863547658,2042,Florida
93,120.80161095704142,2043,Florida
94,58.534308662615175,2044,Florida
95,78.09782661936737,2045,Florida
96,49.18600467666936,2046,Florida
97,67.26703932410469,2047,Florida
98,87.60748430740963,2048,Florida
99,59.54027415811505,2049,Florida
100,74.48129948227425,2050,Florida
101,95.40898107386869,2051,Florida
102,34.07291267433619,2052,Florida
103,-25.475963070630826,2053,Florida
104,103.55447512652341,2054,Florida
105,76.85142861284979,2055,Florida
106,62.21485442398733,2056,Florida
107,32.614030241416025,2057,Florida
108,50.019903494161305,2058,Florida
109,-8.164808616103027,2059,Florida
110,43.657301963040396,2060,Florida
111,57.90932504680452,2061,Florida
112,78.16184524377344,2062,Florida
113,49.925184696221244,2063,Florida
114,-41.35893526591316,2064,Florida
115,86.98250069158054,2065,Florida
116,59.60429278242617,2066,Florida
117,75.22047950163751,2067,Florida
118,16.731058046538685,2068,Florida
119,33.447929058596806,2069,Florida
120,-25.41194444646954,2070,Florida
121,104.29365514600316,2071,Florida
122,42.026352852131254,2072,Florida
123,61.589870808668906,2073,Florida
124,32.67804886604559,2074,Florida
125,50.7590835134366,2075,Florida
126,71.09952849649503,2076,Florida
127,43.03231834744738,2077,Florida
128,57.97334367175088,2078,Florida
129,78.90102526309612,2079,Florida
130,17.564956863558095,2080,Florida
131,-41.98391888162454,2081,Florida
132,87.04651931609877,2082,Florida
133,60.34347280208326,2083,Florida
134,45.70689861330814,2084,Florida
135,16.10607443064694,2085,Florida
136,33.51194768324872,2086,Florida
137,-24.67276442680314,2087,Florida
138,27.149346152439243,2088,Florida
139,41.40136923593705,2089,Florida
140,61.65388943295923,2090,Florida
141,33.41722888534558,2091,Florida
142,-57.866891076477664,2092,Florida
143,70.474544880566,2093,Florida
144,43.09633697177752,2094,Florida
145,58.71252369075805,2095,Florida
146,0.2231022357263761,2096,Florida
147,16.93997324813263,2097,Florida
148,-41.91990025696463,2098,Florida
149,87.78569933521196,2099,Florida
150,61.742761867120784,2100,Florida
151,78.66292609915035,2101,Florida
152,101.52105014978522,2102,Florida
153,75.8227578150667,2103,Florida
154,-23.273475361868783,2104,Florida
155,107.7361017430373,2105,Florida
156,82.96349769047264,2106,Florida
157,101.11805262033803,2107,Florida
158,34.81651795112079,2108,Florida
159,54.20153011163886,2109,Florida
160,-2.0527395397447954,2110,Florida
161,130.1912282651117,2111,Florida
162,60.11181275598923,2112,Florida
163,82.34347186100797,2113,Florida
164,56.03725377191874,2114,Florida
165,76.65665663355257,2115,Florida
166,89.18498840034599,2116,Florida
167,63.78591940025672,2117,Florida
168,81.33254857672948,2118,Florida
169,104.7985983836661,2119,Florida
51,70.9288598849408,1996,Illinois
52,82.4030794078179,1997,Illinois
53,91.47021433701791,1998,Illinois
54,59.17413904514838,1999,Illinois
55,96.36589361368036,2000,Illinois
56,50.78256289493589,2001,Illinois
57,60.48314658559454,2002,Illinois
58,68.17112012445898,2003,Illinois
59,64.95571997181796,2004,Illinois
60,55.77948574277954,2005,Illinois
61,85.92018041074128,2006,Illinois
62,36.55060369522141,2007,Illinois
63,73.95270108407601,2008,Illinois
64,84.91700765259772,2009,Illinois
65,54.5100067761082,2010,Illinois
66,41.54752653524193,2011,Illinois
67,42.33218465221013,2012,Illinois
68,53.92993996732105,2013,Illinois
69,63.50698790771139,2014,Illinois
70,70.68504848311593,2015,Illinois
71,47.32910753357535,2016,Illinois
72,79.3669738300879,2017,Illinois
73,31.886471522801386,2018,Illinois
74,39.69798083823434,2019,Illinois
75,76.46662950059846,2020,Illinois
76,47.956800246862755,2021,Illinois
77,36.883394415412184,2022,Illinois
78,65.13501470572176,2023,Illinois
79,45.479561855752934,2024,Illinois
80,56.95378141242409,2025,Illinois
81,66.02091638236907,2026,Illinois
82,33.72484112248249,2027,Illinois
83,70.91659572308329,2028,Illinois
84,25.333265027464194,2029,Illinois
85,35.03384873743356,2030,Illinois
86,42.721822288216714,2031,Illinois
87,39.506422139813736,2032,Illinois
88,30.330187920042505,2033,Illinois
89,60.47088260491353,2034,Illinois
90,11.101305903120391,2035,Illinois
91,48.50340330559247,2036,Illinois
92,59.46770988717785,2037,Illinois
93,29.060709021584827,2038,Illinois
94,16.098228795988717,2039,Illinois
95,16.882886920527753,2040,Illinois
96,28.48064224242958,2041,Illinois
97,38.0576901873883,2042,Illinois
98,45.23575076296598,2043,Illinois
99,21.87980981327371,2044,Illinois
100,53.917676109613325,2045,Illinois
101,6.437173802298702,2046,Illinois
102,14.24868311808035,2047,Illinois
103,51.017331780366334,2048,Illinois
104,22.507502526285435,2049,Illinois
105,11.434096695222422,2050,Illinois
106,39.685716985192585,2051,Illinois
107,20.030264135458907,2052,Illinois
108,31.504483692000548,2053,Illinois
109,40.5716186619392,2054,Illinois
110,8.275543402036334,2055,Illinois
111,45.467298002572704,2056,Illinois
112,-0.11603269288846718,2057,Illinois
113,9.584551017171833,2058,Illinois
114,17.272524567743602,2059,Illinois
115,14.057124419258798,2060,Illinois
116,4.880890199870407,2061,Illinois
117,35.02158488447694,2062,Illinois
118,-14.347991817256286,2063,Illinois
119,23.054105585017197,2064,Illinois
120,34.018412166653036,2065,Illinois
121,3.6114113011411177,2066,Illinois
122,-9.351068924437243,2067,Illinois
123,-8.566410799911978,2068,Illinois
124,3.0313445219929065,2069,Illinois
125,12.608392466729981,2070,Illinois
126,19.786453042536664,2071,Illinois
127,-3.569487907039303,2072,Illinois
128,28.46837838923082,2073,Illinois
129,-19.01212391818416,2074,Illinois
130,-11.200614602466459,2075,Illinois
131,25.568034059896036,2076,Illinois
132,-2.9417951941516662,2077,Illinois
133,-14.015201025154653,2078,Illinois
134,14.236419264830516,2079,Illinois
135,-5.419033585008691,2080,Illinois
136,6.055185971524338,2081,Illinois
137,15.122320941744931,2082,Illinois
138,-17.173754318226656,2083,Illinois
139,20.01800028219111,2084,Illinois
140,-25.565330413269976,2085,Illinois
141,-15.864746703222352,2086,Illinois
142,-8.176773152446373,2087,Illinois
143,-11.392173301057028,2088,Illinois
144,-20.568407520664238,2089,Illinois
145,9.572287164090625,2090,Illinois
146,-39.797289537609856,2091,Illinois
147,-2.3951921350748933,2092,Illinois
148,8.56911444625436,2093,Illinois
149,-21.837886419323496,2094,Illinois
150,-34.80036664509137,2095,Illinois
151,-34.015708520253185,2096,Illinois
152,-22.41795319857846,2097,Illinois
153,-12.840905253388001,2098,Illinois
154,-5.662844678094899,2099,Illinois
155,-39.83662976760448,2100,Illinois
156,-56.53991797347118,2101,Illinois
157,-33.87437069638355,2102,Illinois
158,-90.6542619618264,2103,Illinois
159,-30.83964860182624,2104,Illinois
160,-27.402396006365564,2105,Illinois
161,-65.28454427965056,2106,Illinois
162,-85.6573390694176,2107,Illinois
163,-62.4601649870238,2108,Illinois
164,-58.38946365165111,2109,Illinois
165,-56.28756311428444,2110,Illinois
166,-56.51981710234958,2111,Illinois
167,-57.46324209468173,2112,Illinois
168,-32.952429784077225,2113,Illinois
169,-87.90807949891466,2114,Illinois
170,-87.50688474744229,2115,Illinois
171,-28.325720127005837,2116,Illinois
172,-64.36260336699644,2117,Illinois
173,-82.91115660694648,2118,Illinois
174,-62.06985087980823,2119,Illinois
