,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
1282,7/27/2000,Jul,2000,Wildfire,0,0,California,1
1283,7/29/2000,Jul,2000,Wildfire,0,0,California,1
1284,7/31/2000,Jul,2000,Wildfire,0,0,California,1
1285,7/31/2000,Jul,2000,Wildfire,0,0,California,1
1286,8/1/2000,Aug,2000,Wildfire,0,0,California,1
1287,8/1/2000,Aug,2000,Wildfire,0,0,California,1
1288,8/2/2000,Aug,2000,Wildfire,0,40000,California,1
1289,8/13/2000,Aug,2000,Wildfire,0,78200,California,1
1290,8/15/2000,Aug,2000,Wildfire,0,500000,California,1
1291,8/22/2000,Aug,2000,Wildfire,0,0,California,1
1292,9/1/2000,Sep,2000,Wildfire,0,100000,California,1
1293,9/8/2000,Sep,2000,Wildfire,0,22700000,California,1
1294,9/11/2000,Sep,2000,Wildfire,0,0,California,1
1295,9/13/2000,Sep,2000,Wildfire,0,0,California,1
1296,9/18/2000,Sep,2000,Wildfire,0,662000,California,1
1297,9/21/2000,Sep,2000,Wildfire,0,1900000,California,1
1298,9/29/2000,Sep,2000,Wildfire,0,425000,California,1
1299,10/1/2000,Oct,2000,Wildfire,0,547000000,California,1
1300,10/1/2000,Oct,2000,Wildfire,0,547000,California,1
1301,12/18/2000,Dec,2000,Wildfire,0,30000,California,1
1302,12/25/2000,Dec,2000,Wildfire,0,0,California,1
1303,12/26/2000,Dec,2000,Wildfire,0,0,California,1
1304,12/26/2000,Dec,2000,Wildfire,0,0,California,1
1305,12/26/2000,Dec,2000,Wildfire,0,0,California,1
1306,1/3/2001,Jan,2001,Wildfire,0,0,California,1
1307,1/3/2001,Jan,2001,Wildfire,0,10000000,California,1
1308,1/3/2001,Jan,2001,Wildfire,0,0,California,1
1309,1/3/2001,Jan,2001,Wildfire,0,0,California,1
1310,1/3/2001,Jan,2001,Wildfire,0,0,California,1
1311,5/11/2001,May,2001,Wildfire,0,0,California,1
1312,6/13/2001,Jun,2001,Wildfire,0,0,California,1
1313,6/13/2001,Jun,2001,Wildfire,0,0,California,1
1314,6/14/2001,Jun,2001,Wildfire,0,0,California,1
1315,6/14/2001,Jun,2001,Wildfire,0,150000,California,1
1316,6/15/2001,Jun,2001,Wildfire,0,0,California,1
1317,6/16/2001,Jun,2001,Wildfire,0,0,California,1
1318,6/17/2001,Jun,2001,Wildfire,0,0,California,1
1319,6/17/2001,Jun,2001,Wildfire,0,0,California,1
1320,6/17/2001,Jun,2001,Wildfire,0,0,California,1
1321,6/17/2001,Jun,2001,Wildfire,0,0,California,1
1322,6/19/2001,Jun,2001,Wildfire,0,0,California,1
